availability_365,calculated_host_listings_count,longitude,room_type,Price
1.0,1.0,-73.9553,1.0,295
0.0,1.0,-73.94048,0.0,70
0.0,2.0,-73.95947,0.0,58
267.0,1.0,-73.93118,1.0,75
0.0,1.0,-73.89564,0.0,38
270.0,31.0,-73.99283,1.0,100
43.0,1.0,-73.95639,1.0,260
4.0,1.0,-74.00476,1.0,147
0.0,1.0,-73.94803,0.0,34
0.0,1.0,-73.94366,0.0,65
150.0,9.0,-73.98098,1.0,125
338.0,65.0,-73.98573,1.0,310
329.0,5.0,-73.91968,0.0,50
0.0,1.0,-73.97882,0.0,79
63.0,2.0,-73.98983,1.0,329
170.0,2.0,-73.87496,0.0,115
0.0,1.0,-73.93034,1.0,140
112.0,2.0,-73.97009,1.0,225
281.0,5.0,-73.95295,0.0,149
124.0,1.0,-73.95702,0.0,50
364.0,7.0,-73.9581,0.0,88
0.0,1.0,-73.82875,1.0,200
0.0,1.0,-73.94297,1.0,160
89.0,1.0,-73.9358,1.0,125
0.0,3.0,-73.94522,0.0,75
57.0,1.0,-73.87739,0.0,80
0.0,1.0,-73.97225,1.0,140
41.0,1.0,-73.97381,1.0,134
0.0,1.0,-73.96005,0.0,65
327.0,52.0,-73.94141,1.0,159
52.0,1.0,-73.98758,1.0,300
180.0,1.0,-73.78263,0.0,95
0.0,1.0,-73.9755,0.0,70
199.0,6.0,-73.96161,1.0,248
364.0,5.0,-73.94179,1.0,750
0.0,1.0,-73.91993,0.0,90
161.0,8.0,-73.94462,1.0,80
67.0,1.0,-73.92855,1.0,85
0.0,1.0,-73.95703,0.0,50
0.0,1.0,-73.9554,1.0,295
0.0,1.0,-73.99084,0.0,80
0.0,1.0,-73.98401,0.0,109
0.0,1.0,-74.00604,0.0,100
339.0,1.0,-73.94875,0.0,45
243.0,1.0,-73.91265,1.0,135
124.0,3.0,-73.91519,1.0,115
341.0,1.0,-73.94803,0.0,185
42.0,1.0,-73.95873,1.0,150
312.0,232.0,-73.97884,1.0,290
0.0,2.0,-73.91729,0.0,80
0.0,3.0,-73.90639,0.0,65
242.0,2.0,-73.95627,0.0,45
7.0,1.0,-73.93335,1.0,80
365.0,3.0,-73.83192,0.0,75
213.0,1.0,-73.95436,0.0,69
0.0,1.0,-73.91633,0.0,65
0.0,1.0,-73.93249,0.0,60
0.0,1.0,-73.98337,1.0,195
106.0,3.0,-73.95134,0.0,69
0.0,1.0,-73.91248,1.0,160
0.0,1.0,-73.9559,1.0,150
0.0,2.0,-73.98916,0.0,250
0.0,1.0,-73.96245,1.0,90
129.0,1.0,-73.97067,1.0,235
230.0,7.0,-73.98191,0.0,100
15.0,1.0,-73.96688,1.0,239
32.0,1.0,-73.95347,1.0,65
228.0,1.0,-73.92037,1.0,115
282.0,1.0,-73.73399,1.0,60
173.0,1.0,-73.92849,0.0,60
0.0,1.0,-73.98006,0.0,45
0.0,1.0,-73.99028,1.0,300
0.0,2.0,-73.89723,0.0,35
98.0,4.0,-73.9068,0.0,69
301.0,1.0,-73.98893,1.0,198
0.0,1.0,-73.97952,1.0,100
249.0,4.0,-73.90933,0.0,60
179.0,1.0,-73.92491,0.0,225
328.0,4.0,-73.946,1.0,325
286.0,1.0,-73.97736,1.0,350
0.0,1.0,-73.94937,0.0,45
341.0,1.0,-73.97201,1.0,200
190.0,1.0,-73.96993,1.0,100
194.0,1.0,-73.9198,1.0,125
365.0,3.0,-73.88285,0.0,68
91.0,2.0,-73.93073,1.0,115
36.0,1.0,-73.94057,0.0,55
0.0,1.0,-73.93234,1.0,65
9.0,1.0,-73.9729,1.0,300
3.0,1.0,-73.98308,1.0,100
278.0,1.0,-73.96327,0.0,98
0.0,1.0,-73.94321,1.0,100
5.0,1.0,-73.96951,1.0,165
95.0,1.0,-73.91231,0.0,55
363.0,1.0,-73.89883,0.0,149
0.0,4.0,-73.98437,0.0,102
355.0,4.0,-73.94804,0.0,85
179.0,1.0,-73.96026,0.0,89
74.0,1.0,-73.98386,0.0,45
0.0,1.0,-74.01001,1.0,299
0.0,1.0,-73.95765,1.0,130
176.0,1.0,-73.97739,0.0,93
0.0,1.0,-73.96388,1.0,210
0.0,1.0,-73.98594,1.0,200
93.0,1.0,-73.8347,0.0,70
64.0,1.0,-73.92689,1.0,90
330.0,11.0,-73.96098,1.0,140
0.0,1.0,-73.95285,0.0,60
342.0,2.0,-73.90648,1.0,125
121.0,6.0,-73.83284,0.0,49
0.0,1.0,-74.0319,1.0,125
0.0,3.0,-73.92443,0.0,45
199.0,4.0,-73.94233,0.0,65
0.0,1.0,-73.96178,0.0,65
0.0,1.0,-73.95366,0.0,50
0.0,1.0,-73.98088,0.0,49
0.0,1.0,-73.96019,1.0,120
365.0,1.0,-73.98066,0.0,125
0.0,3.0,-73.94228,1.0,150
141.0,2.0,-73.95956,1.0,200
0.0,1.0,-73.97018,1.0,144
0.0,1.0,-73.96941,1.0,135
350.0,1.0,-73.9117,0.0,90
45.0,2.0,-73.93567,1.0,120
3.0,1.0,-73.95341,1.0,160
330.0,232.0,-73.98379,1.0,314
8.0,1.0,-73.93273,0.0,54
311.0,2.0,-73.95288,0.0,50
266.0,1.0,-73.93108,1.0,275
19.0,1.0,-73.94937,0.0,68
